Salvage,Origin,Dest,Amount,Units,Price_per_Ton
Flight recorder,Outskirts,Niima Outpost,887,Tons,590.93
Proximity sensor,Outskirts,Raiders,7081,Tons,1229.03
Vitus-Series Attitude Thrusters,Reestki,Raiders,4901,Tons,225.54
Aural sensor,Tuanul,Raiders,707,Tons,145.27
Electromagnetic discharge filter,Tuanul,Niima Outpost,107,Tons,188.28
Proximity sensor,Tuanul,Trade caravan,32109,Tons,1229.03
Hyperdrive motivator,Tuanul,Trade caravan,862,Tons,1485.28
Landing jet,Reestki,Niima Outpost,13944,Tons,1496.74
Electromagnetic discharge filter,Cratertown,Raiders,7788,Tons,188.28
Sublight engine,Outskirts,Niima Outpost,10642,Tons,7211.01
Sublight drive,Cratertown,Niima Outpost,20652,Tons,420.36
Landing jet,Blowback Town,Raiders,2252,Tons,1496.74
Flight recorder,Blowback Town,Trade caravan,5428,Tons,590.93
Sublight engine,Outskirts,Raiders,2377,Tons,7211.01
Sublight engine,Cratertown,Raiders,6310,Tons,7211.01
Sublight engine,Tuanul,Trade caravan,3984,Tons,7211.01
Ion engine,Blowback Town,Niima Outpost,2356,TONS,1605.85
Electromagnetic discharge filter,Reestki,Niima Outpost,150,Tons,188.28
Vitus-Series Attitude Thrusters,Cratertown,Raiders,1051,Tons,225.54
Maneuvering jet,Tuanul,Trade caravan,690,Tons,2167.84
Lateral thruster,Outskirts,Niima Outpost,20739,Tons,1570.65
Navigation computer,Cratertown,Niima Outpost,11270,Tons,259.56
Hyperdrive motivator,Reestki,Raiders,7392,Tons,1485.28
Proximity sensor,Blowback Town,Raiders,10083,Tons,1229.03
Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,5785,Tons,225.54
Flight recorder,Cratertown,Trade caravan,2791,Tons,590.93
Navigation computer,Blowback Town,Raiders,3508,Tons,259.56
Ion engine,Tuanul,Trade caravan,3439,TONS,1605.85
Hyperdrive motivator,Outskirts,Niima Outpost,1546,Tons,1485.28
Navigation computer,Tuanul,Niima Outpost,7187,Tons,259.56
Flight recorder,Tuanul,Trade caravan,12768,Tons,590.93
Lateral thruster,Cratertown,Raiders,7482,Tons,1570.65
Retrorocket,Cratertown,Niima Outpost,4275,Tons,588.68
Navigation computer,Blowback Town,Raiders,8308,Tons,259.56
Lateral thruster,Blowback Town,Niima Outpost,7883,Tons,1570.65
Retrorocket,Reestki,Niima Outpost,9288,Tons,588.68
Ion engine,Tuanul,Raiders,6577,TONS,1605.85
Landing jet,Outskirts,Niima Outpost,65,Tons,1496.74
Sublight drive,Reestki,Raiders,211,Tons,420.36
Dedicated energy receptor,Cratertown,Niima Outpost,5763,Tons,281.01
Electromagnetic discharge filter,Cratertown,Raiders,3650,Tons,188.28
Vitus-Series Attitude Thrusters,Tuanul,Trade caravan,7145,Tons,225.54
Lateral thruster,Tuanul,Niima Outpost,4312,Tons,1570.65
Sublight engine,Cratertown,Raiders,299,Tons,7211.01
Ion engine,Blowback Town,Niima Outpost,895,TONS,1605.85
Turbo injector,Tuanul,Trade caravan,2728,Tons,845.72
Landing jet,Reestki,Niima Outpost,5192,Tons,1496.74
Hyperdrive motivator,Reestki,Raiders,1441,Tons,1485.28
Retrorocket,Blowback Town,Niima Outpost,6672,Tons,588.68
Dedicated energy receptor,Reestki,Trade caravan,2980,Tons,281.01
Aural sensor,Outskirts,Niima Outpost,3005,Tons,145.27
Aural sensor,Tuanul,Raiders,6204,Tons,145.27
Maneuvering jet,Reestki,Raiders,15578,Tons,2167.84
Sublight drive,Reestki,Trade caravan,988,Tons,420.36
Dedicated energy receptor,Cratertown,Niima Outpost,2358,Tons,281.01
Turbo injector,Outskirts,Raiders,2136,Tons,845.72
Navigation computer,Cratertown,Trade caravan,12390,Tons,259.56
Maneuvering jet,Tuanul,Niima Outpost,9444,Tons,2167.84
Maneuvering jet,Reestki,Trade caravan,477,Tons,2167.84
Sublight drive,Tuanul,Niima Outpost,5070,Tons,420.36
Lateral thruster,Tuanul,Raiders,10643,Tons,1570.65
Flight recorder,Reestki,Trade caravan,2330,Tons,590.93
Reactant agitator injector,Reestki,Raiders,20834,Tons,790.68
Aural sensor,Tuanul,Raiders,3120,Tons,145.27
Lateral thruster,Reestki,Trade caravan,696,Tons,1570.65
Turbo injector,Blowback Town,Niima Outpost,4943,Tons,845.72
Turbo injector,Reestki,Raiders,6392,Tons,845.72
Landing jet,Tuanul,Trade caravan,6913,Tons,1496.74
Proximity sensor,Reestki,Trade caravan,22294,Tons,1229.03
Aural sensor,Blowback Town,Niima Outpost,2312,Tons,145.27
Retrorocket,Cratertown,Niima Outpost,9339,Tons,588.68
Sublight drive,Blowback Town,Raiders,1424,Tons,420.36
Retrorocket,Blowback Town,Trade caravan,3466,Tons,588.68
Sublight engine,Blowback Town,Raiders,8582,Tons,7211.01
Hyperdrive motivator,Blowback Town,Trade caravan,16489,Tons,1485.28
Ion engine,Reestki,Niima Outpost,2735,TONS,1605.85
Electromagnetic discharge filter,Tuanul,Raiders,5088,Tons,188.28
Hyperdrive motivator,Blowback Town,Raiders,4012,Tons,1485.28
Retrorocket,Tuanul,Trade caravan,17320,Tons,588.68
Aural sensor,Outskirts,Trade caravan,6272,Tons,145.27
Navigation computer,Reestki,Raiders,1826,Tons,259.56
Turbo injector,Tuanul,Trade caravan,4158,Tons,845.72
Retrorocket,Tuanul,Raiders,2055,Tons,588.68
Reactant agitator injector,Cratertown,Niima Outpost,11452,Tons,790.68
Vitus-Series Attitude Thrusters,Cratertown,Raiders,914,Tons,225.54
Reactant agitator injector,Blowback Town,Raiders,4343,Tons,790.68
Proximity sensor,Cratertown,Trade caravan,1392,Tons,1229.03
Proximity sensor,Blowback Town,Raiders,444,Tons,1229.03
Navigation computer,Tuanul,Trade caravan,5397,Tons,259.56
Lateral thruster,Blowback Town,Niima Outpost,6878,Tons,1570.65
Reactant agitator injector,Reestki,Trade caravan,1544,Tons,790.68
Maneuvering jet,Tuanul,Raiders,346,Tons,2167.84
Vitus-Series Attitude Thrusters,Blowback Town,Raiders,5592,Tons,225.54
Electromagnetic discharge filter,Cratertown,Niima Outpost,13978,Tons,188.28
Sublight drive,Outskirts,Raiders,214,Tons,420.36
Lateral thruster,Cratertown,Trade caravan,10656,Tons,1570.65
Dedicated energy receptor,Blowback Town,Niima Outpost,129,Tons,281.01
Navigation computer,Cratertown,Raiders,1421,Tons,259.56
Maneuvering jet,Tuanul,Trade caravan,4194,Tons,2167.84
Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,15258,Tons,225.54
Flight recorder,Cratertown,Niima Outpost,2453,Tons,590.93
Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,4164,Tons,225.54
Lateral thruster,Reestki,Niima Outpost,4932,Tons,1570.65
Turbo injector,Blowback Town,Trade caravan,256,Tons,845.72
Hyperdrive motivator,Blowback Town,Niima Outpost,968,Tons,1485.28
Aural sensor,Reestki,Raiders,2421,Tons,145.27
Lateral thruster,Cratertown,Trade caravan,289,Tons,1570.65
Vitus-Series Attitude Thrusters,Tuanul,Niima Outpost,3664,Tons,225.54
Flight recorder,Outskirts,Trade caravan,1692,Tons,590.93
Electromagnetic discharge filter,Reestki,Niima Outpost,9442,Tons,188.28
Proximity sensor,Outskirts,Raiders,10494,Tons,1229.03
Flight recorder,Cratertown,Niima Outpost,381,Tons,590.93
Retrorocket,Tuanul,Trade caravan,566,Tons,588.68
Turbo injector,Cratertown,Trade caravan,2799,Tons,845.72
Proximity sensor,Reestki,Niima Outpost,9661,Tons,1229.03
Turbo injector,Outskirts,Niima Outpost,3575,Tons,845.72
Ion engine,Tuanul,Raiders,1036,TONS,1605.85
Sublight drive,Cratertown,Niima Outpost,3169,Tons,420.36
Dedicated energy receptor,Cratertown,Trade caravan,1278,Tons,281.01
Turbo injector,Tuanul,Trade caravan,1228,Tons,845.72
Proximity sensor,Cratertown,Trade caravan,18141,Tons,1229.03
Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,7916,Tons,225.54
Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,1011,Tons,225.54
Ion engine,Outskirts,Niima Outpost,1537,TONS,1605.85
Electromagnetic discharge filter,Blowback Town,Trade caravan,10998,Tons,188.28
Dedicated energy receptor,Tuanul,Trade caravan,5110,Tons,281.01
Sublight engine,Cratertown,Raiders,1768,Tons,7211.01
Electromagnetic discharge filter,Tuanul,Trade caravan,8142,Tons,188.28
Landing jet,Outskirts,Raiders,185,Tons,1496.74
Electromagnetic discharge filter,Blowback Town,Trade caravan,3788,Tons,188.28
Lateral thruster,Blowback Town,Raiders,2956,Tons,1570.65
Aural sensor,Cratertown,Raiders,3482,Tons,145.27
Sublight engine,Outskirts,Niima Outpost,130,Tons,7211.01
Electromagnetic discharge filter,Cratertown,Trade caravan,2698,Tons,188.28
Vitus-Series Attitude Thrusters,Blowback Town,Niima Outpost,1735,Tons,225.54
Landing jet,Tuanul,Trade caravan,18423,Tons,1496.74
Aural sensor,Tuanul,Niima Outpost,3519,Tons,145.27
Dedicated energy receptor,Cratertown,Raiders,2470,Tons,281.01
Ion engine,Tuanul,Trade caravan,4378,TONS,1605.85
Navigation computer,Blowback Town,Niima Outpost,1601,Tons,259.56
Aural sensor,Cratertown,Raiders,11105,Tons,145.27
Retrorocket,Blowback Town,Trade caravan,778,Tons,588.68
Reactant agitator injector,Cratertown,Trade caravan,6767,Tons,790.68
Navigation computer,Reestki,Niima Outpost,7429,Tons,259.56
Turbo injector,Tuanul,Niima Outpost,5654,Tons,845.72
Aural sensor,Tuanul,Niima Outpost,4937,Tons,145.27
Ion engine,Cratertown,Raiders,1021,TONS,1605.85
Maneuvering jet,Outskirts,Raiders,580,Tons,2167.84
Dedicated energy receptor,Blowback Town,Trade caravan,6320,Tons,281.01
Reactant agitator injector,Cratertown,Niima Outpost,3247,Tons,790.68
Flight recorder,Tuanul,Niima Outpost,8226,Tons,590.93
Lateral thruster,Outskirts,Raiders,1389,Tons,1570.65
Reactant agitator injector,Cratertown,Niima Outpost,1286,Tons,790.68
Maneuvering jet,Blowback Town,Trade caravan,11979,Tons,2167.84
Sublight engine,Reestki,Niima Outpost,11609,Tons,7211.01
Flight recorder,Tuanul,Raiders,2835,Tons,590.93
Turbo injector,Reestki,Niima Outpost,6031,Tons,845.72
Maneuvering jet,Cratertown,Niima Outpost,385,Tons,2167.84
Vitus-Series Attitude Thrusters,Outskirts,Trade caravan,14026,Tons,225.54
Maneuvering jet,Outskirts,Trade caravan,8370,Tons,2167.84
Proximity sensor,Outskirts,Niima Outpost,4438,Tons,1229.03
Dedicated energy receptor,Blowback Town,Niima Outpost,4245,Tons,281.01
Aural sensor,Cratertown,Niima Outpost,10755,Tons,145.27
Hyperdrive motivator,Reestki,Trade caravan,7345,Tons,1485.28
Sublight engine,Tuanul,Niima Outpost,1559,Tons,7211.01
Navigation computer,Tuanul,Niima Outpost,4760,Tons,259.56
Aural sensor,Outskirts,Raiders,582,Tons,145.27
Reactant agitator injector,Tuanul,Trade caravan,5658,Tons,790.68
Hyperdrive motivator,Blowback Town,Raiders,2844,Tons,1485.28
Vitus-Series Attitude Thrusters,Blowback Town,Trade caravan,652,Tons,225.54
Sublight engine,Blowback Town,Raiders,1753,Tons,7211.01
Maneuvering jet,Outskirts,Trade caravan,7453,Tons,2167.84
Reactant agitator injector,Cratertown,Raiders,4336,Tons,790.68
Navigation computer,Outskirts,Niima Outpost,8194,Tons,259.56
Dedicated energy receptor,Cratertown,Raiders,3967,Tons,281.01
Reactant agitator injector,Reestki,Trade caravan,7899,Tons,790.68
Dedicated energy receptor,Cratertown,Trade caravan,26167,Tons,281.01
Turbo injector,Reestki,Raiders,986,Tons,845.72
Reactant agitator injector,Tuanul,Raiders,5015,Tons,790.68
Electromagnetic discharge filter,Reestki,Niima Outpost,386,Tons,188.28
Ion engine,Tuanul,Trade caravan,6793,TONS,1605.85
Ion engine,Tuanul,Trade caravan,776,TONS,1605.85
Hyperdrive motivator,Outskirts,Trade caravan,1124,Tons,1485.28
Sublight drive,Blowback Town,Trade caravan,2625,Tons,420.36
Reactant agitator injector,Outskirts,Trade caravan,7042,Tons,790.68
Retrorocket,Tuanul,Raiders,2840,Tons,588.68
Ion engine,Cratertown,Raiders,12539,TONS,1605.85
Flight recorder,Blowback Town,Trade caravan,3364,Tons,590.93
Sublight engine,Blowback Town,Niima Outpost,8729,Tons,7211.01
Flight recorder,Tuanul,Trade caravan,4935,Tons,590.93
Retrorocket,Outskirts,Niima Outpost,1052,Tons,588.68
Reactant agitator injector,Cratertown,Raiders,6471,Tons,790.68
Retrorocket,Outskirts,Raiders,219,Tons,588.68
Dedicated energy receptor,Reestki,Niima Outpost,170,Tons,281.01
Vitus-Series Attitude Thrusters,Reestki,Trade caravan,2278,Tons,225.54
Ion engine,Cratertown,Niima Outpost,12007,TONS,1605.85
Turbo injector,Tuanul,Niima Outpost,4491,Tons,845.72
Retrorocket,Tuanul,Niima Outpost,1441,Tons,588.68
Hyperdrive motivator,Outskirts,Raiders,10799,Tons,1485.28
Electromagnetic discharge filter,Cratertown,Trade caravan,1298,Tons,188.28
Maneuvering jet,Reestki,Niima Outpost,8757,Tons,2167.84
Electromagnetic discharge filter,Blowback Town,Trade caravan,2498,Tons,188.28
Aural sensor,Reestki,Niima Outpost,4087,Tons,145.27
Reactant agitator injector,Tuanul,Raiders,10331,Tons,790.68
Electromagnetic discharge filter,Reestki,Raiders,2115,Tons,188.28
Lateral thruster,Outskirts,Niima Outpost,936,Tons,1570.65
Vitus-Series Attitude Thrusters,Reestki,Niima Outpost,570,Tons,225.54
Ion engine,Blowback Town,Raiders,7453,TONS,1605.85
Proximity sensor,Blowback Town,Trade caravan,7920,Tons,1229.03
Vitus-Series Attitude Thrusters,Cratertown,Trade caravan,6277,Tons,225.54
Retrorocket,Tuanul,Trade caravan,9167,Tons,588.68
Proximity sensor,Tuanul,Niima Outpost,5565,Tons,1229.03
Dedicated energy receptor,Reestki,Raiders,4069,Tons,281.01
Navigation computer,Tuanul,Trade caravan,4510,Tons,259.56
Sublight engine,Cratertown,Trade caravan,431,Tons,7211.01
Flight recorder,Reestki,Trade caravan,8052,Tons,590.93
Landing jet,Cratertown,Niima Outpost,4111,Tons,1496.74
Reactant agitator injector,Tuanul,Raiders,3208,Tons,790.68
Lateral thruster,Tuanul,Trade caravan,15295,Tons,1570.65
Navigation computer,Outskirts,Niima Outpost,2919,Tons,259.56
Lateral thruster,Tuanul,Niima Outpost,3455,Tons,1570.65
Total,All,All,2971601,Tons,579215.27
